a, b, c
2379, 1100, 1
-2379, 1100, 1
2379, -1100, 1
-2379, -1100, 1
1071, 1840, 1
-1071, 1840, 1
1071, -1840, 1
-1071, -1840, 1
2175, 2392, 1
-2175, 2392, 1
2175, -2392, 1
-2175, -2392, 1
1189, 420, 1
-1189, 420, 1
1189, -420, 1
-1189, -420, 1
329, 1080, 1
-329, 1080, 1
329, -1080, 1
-329, -1080, 1
2409, 2120, 1
-2409, 2120, 1
2409, -2120, 1
-2409, -2120, 1
1947, 1196, 1
-1947, 1196, 1
1947, -1196, 1
-1947, -1196, 1
1577, 3264, 1
-1577, 3264, 1
1577, -3264, 1
-1577, -3264, 1
4905, 4928, 1
-4905, 4928, 1
4905, -4928, 1
-4905, -4928, 1
3195, 1508, 1
-3195, 1508, 1
3195, -1508, 1
-3195, -1508, 1
1311, 2200, 1
-1311, 2200, 1
1311, -2200, 1
-1311, -2200, 1
2511, 2800, 1
-2511, 2800, 1
2511, -2800, 1
-2511, -2800, 1
1333, 444, 1
-1333, 444, 1
1333, -444, 1
-1333, -444, 1
259, 660, 1
-259, 660, 1
259, -660, 1
-259, -660, 1
1219, 1140, 1
-1219, 1140, 1
1219, -1140, 1
-1219, -1140, 1
897, 496, 1
-897, 496, 1
897, -496, 1
-897, -496, 1
387, 884, 1
-387, 884, 1
387, -884, 1
-387, -884, 1
1475, 1428, 1
-1475, 1428, 1
1475, -1428, 1
-1475, -1428, 1
1025, 528, 1
-1025, 528, 1
1025, -528, 1
-1025, -528, 1
261, 380, 1
-261, 380, 1
261, -380, 1
-261, -380, 1
341, 420, 1
-341, 420, 1
341, -420, 1
-341, -420, 1
143, 24, 1
-143, 24, 1
143, -24, 1
-143, -24, 1
15, 112, 1
-15, 112, 1
15, -112, 1
-15, -112, 1
